recno,SDSS,Plate,MJD,Fiber,zFG,zBG,Imag,n_Imag,AI,Name,L(V555),Re,Le2/LdV,b/a,PA,sigma,e_sigma,Mph,Mul,Lens,n_Lens,_RA,_DE
82,142015.85+601914.8,788,52338,605,0.0629,0.5351,15.08,d,0.03,J1420+6019,32.8,2.06,0.326,0.57,111.5,205,10,E,S,A, ,215.06604,60.32078
83,143004.10+410557.1,1349,52797,406,0.285,0.5753,16.87,d,0.02,J1430+4105,149.4,2.55,0.309,0.79,120.7,322,32,E,S,A, ,217.51708,41.09919
84,143039.86+511530.9,1046,52460,448,0.1337,0.4503,16.33,s,0.02,J1430+5115,48.9,1.81,0.333,0.68,74.1,206,10,L,S,X, ,217.66608,51.25858
85,143213.34+631703.8,499,51988,5,0.123,0.6643,15.16,d,0.03,J1432+6317,122.5,5.85,0.307,0.96,107.2,199,10,L,S,A, ,218.05558,63.28439
86,143609.50+493927.3,1046,52460,25,0.1225,0.3145,16.32,s,0.04,J1436+4939,42.4,2.13,0.312,0.71,12.9,212,12,E,S,X, ,219.03958,49.65758
87,143627.54-000029.2,306,51637,35,0.2852,0.8049,17.24,s,0.07,J1436-0000,112.2,2.24,0.315,0.75,151.3,224,17,E,S,A, ,219.11475,-0.00811
88,144319.62+030408.2,587,52026,205,0.1338,0.4187,17.06,s,0.06,J1443+0304,26.1,0.94,0.32,0.62,61.1,209,11,E,S,A, ,220.83175,3.06894
89,144858.24-011614.6,920,52411,607,0.1474,0.7807,16.65,s,0.1,J1448-0116,48.2,1.39,0.302,0.41,34.4,187,10,L,S,X, ,222.24267,-1.27072
90,145128.19-023936.4,921,52380,293,0.1254,0.5203,16.09,d,0.16,J1451-0239,61.0,2.48,0.315,0.98,40.6,223,14,E,S,A, ,222.86746,-2.66011
91,145218.94-005820.2,309,51994,298,0.177,0.5131,17.28,s,0.08,J1452-0058,39.3,0.85,0.321,0.77,120.9,193,11,E,S,X, ,223.07892,-0.97228
92,151505.14+612848.3,611,52055,626,0.2421,0.38,17.31,s,0.03,J1515+6128,70.3,1.2,0.327,0.66,173.0,212,25,E,S,X, ,228.77142,61.48008
93,152009.08-003457.3,313,51673,306,0.114,0.3954,16.88,s,0.11,J1520-0034,23.0,1.61,0.324,0.59,30.7,196,16,L,S,X, ,230.03783,-0.58258
94,152444.37-005209.1,924,52409,527,0.1524,0.7323,17.39,s,0.28,J1524-0052,31.0,1.62,0.313,0.82,54.8,150,22,E,S,X, ,231.18487,-0.86919
95,152506.70+332747.4,1387,53118,532,0.3583,0.7173,17.11,d,0.04,J1525+3327,204.0,2.9,0.316,0.61,135.4,264,26,E,S,A, ,231.27792,33.46317
96,152524.63+011401.7,313,51673,523,0.1294,0.6269,16.68,s,0.09,J1525+0114,35.3,1.59,0.319,0.85,58.1,158,10,E,S,X, ,231.35262,1.23381
97,153150.07-010545.7,314,51641,124,0.1596,0.7439,16.08,s,0.26,J1531-0105,112.6,2.5,0.32,0.68,143.5,279,14,E,S,A, ,232.95862,-1.09603
98,153530.38-003852.3,315,51663,259,0.1613,0.6585,16.81,s,0.21,J1535-0038,55.9,1.23,0.325,0.6,98.2,254,15,E,S,X, ,233.87658,-0.64786
99,153711.26+412554.6,1679,53149,628,0.1423,0.6811,17.02,d,0.04,J1537+4125,30.3,2.07,0.316,0.84,1.7,204,14,E,S,X, ,234.29692,41.43183
100,153812.92+581709.8,615,52347,594,0.1428,0.5312,16.66,s,0.03,J1538+5817,42.0,1.58,0.311,0.82,153.5,189,12,E,S,A, ,234.55383,58.28606
101,154100.77+413058.7,1053,52468,275,0.1423,0.5033,16.84,d,0.05,J1541+4130,36.2,1.15,0.32,0.42,64.0,215,11,L,S,X, ,235.25321,41.51631
102,154731.22+572000.0,617,52072,561,0.1883,0.3958,16.25,s,0.02,J1547+5720,109.4,2.53,0.317,0.89,156.8,254,13,E,S,X, ,236.88008,57.33333
103,155003.12+525846.7,618,52049,458,0.0491,0.7396,15.23,s,0.03,J1550+5258,17.1,2.04,0.335,0.75,108.9,202,10,E,S,B, ,237.513,52.97964
104,160453.49+335546.2,1418,53142,599,0.0786,0.35,15.36,d,0.05,J1604+3355,40.7,2.59,0.319,0.63,97.2,228,11,E,S,B, ,241.22287,33.9295
105,161437.74+452253.3,814,52443,510,0.1779,0.8113,16.83,s,0.02,J1614+4522,56.9,2.58,0.316,0.9,60.5,182,13,E,S,B, ,243.65725,45.38147
106,161843.10+435327.4,815,52374,337,0.1989,0.6657,, ,0.03,J1618+4353,,,,,,,,E,M,A,*,244.67958,43.89094
107,162132.99+393144.6,1172,52759,318,0.2449,0.6021,16.81,s,0.01,J1621+3931,113.2,2.14,0.312,0.73,142.9,236,20,E,S,A, ,245.38746,39.52906
108,162746.45-005357.6,364,52000,84,0.2076,0.5241,16.91,d,0.18,J1627-0053,85.1,1.98,0.312,0.85,6.9,290,15,E,S,A, ,246.94354,-0.89933
109,163028.16+452036.3,626,52057,518,0.2479,0.7933,16.79,d,0.01,J1630+4520,118.4,1.96,0.318,0.84,71.7,276,16,E,S,A, ,247.61733,45.34342
110,163339.26-001256.2,348,51671,234,0.0702,0.206,15.81,s,0.17,J1633-0012,23.9,2.28,0.323,0.52,169.7,215,11,U,S,X, ,248.41358,-0.21561
111,163602.62+470729.6,627,52144,464,0.2282,0.6745,17.03,s,0.04,J1636+4707,81.5,1.68,0.321,0.78,102.2,231,15,E,S,A, ,249.01092,47.12489
112,170013.98+622109.7,349,51699,43,0.1228,0.3584,16.52,s,0.05,J1700+6221,35.3,1.53,0.314,0.72,118.5,192,10,E,S,X, ,255.05825,62.35269
113,170216.76+332044.8,973,52426,464,0.1785,0.4357,16.1,s,0.04,J1702+3320,113.2,3.66,0.313,0.78,116.3,256,14,E,S,B, ,255.56983,33.34578
114,170603.69+330400.9,974,52427,127,0.1682,0.7736,16.85,d,0.04,J1706+3304,50.5,1.38,0.321,0.79,26.3,225,12,E,S,B, ,256.51537,33.06692
115,171723.13+573948.2,355,51788,542,0.1144,0.5748,16.02,s,0.06,J1717+5739,48.9,2.08,0.315,0.77,145.6,227,11,E,S,X, ,259.34637,57.66339
116,171837.40+642452.2,352,51789,563,0.0899,0.7366,, ,0.06,J1718+6424,,,,,,,,E,M,A,*,259.65583,64.4145
117,211112.27-003826.5,986,52443,256,0.1933,0.4761,, ,0.15,J2111-0038,,,,,,,,E,M,B, ,317.80112,-0.64069
118,211949.65-074201.7,639,52146,142,0.1704,0.5262,16.76,s,0.4,J2119-0742,78.0,1.91,0.311,0.64,139.4,207,17,E,S,B, ,319.95687,-7.70047
119,212151.12+120312.9,730,52466,327,0.1434,0.4862,16.92,s,0.12,J2121+1203,36.3,1.61,0.313,0.59,66.9,194,12,L,S,B, ,320.463,12.05358
120,214154.68-000112.3,989,52468,35,0.138,0.7127,16.83,s,0.1,J2141-0001,35.8,1.81,0.3,0.37,88.4,181,14,L,S,A,*,325.47783,-0.02008
121,220218.32-084648.0,717,52468,165,0.1613,0.5011,17.13,s,0.07,J2202-0846,36.6,1.13,0.312,0.34,12.7,231,12,L,S,X, ,330.57633,-8.78
122,220956.93-075447.9,718,52206,475,0.1112,0.2148,17.58,s,0.09,J2209-0754,11.2,0.71,0.317,0.49,178.3,229,16,E,S,X, ,332.48721,-7.91331
123,222537.34+125957.6,737,52518,119,0.3103,0.6571,18.09,d,0.15,J2225+1259,66.2,0.74,0.325,0.75,136.7,248,24,E,S,X, ,336.40558,12.99933
124,223840.20-075456.0,722,52224,442,0.1371,0.7126,16.2,d,0.07,J2238-0754,61.2,2.33,0.315,0.74,138.3,198,11,E,S,A, ,339.6675,-7.91556
125,224155.71+122814.0,739,52520,54,0.0998,0.7173,15.92,s,0.07,J2241+1228,40.9,4.55,0.35,0.54,164.8,176,13,L,S,X, ,340.48212,12.47056
126,230053.15+002238.0,677,52606,520,0.2285,0.4635,17.07,d,0.1,J2300+0022,83.1,1.83,0.321,0.8,85.7,279,17,E,S,A, ,345.22146,0.37722
127,230220.18-084049.5,725,52258,463,0.0901,0.2224,15.53,s,0.07,J2302-0840,47.4,2.25,0.325,0.8,169.1,237,12,E,S,A,*,345.58408,-8.68042
128,230321.72+142217.9,743,52262,304,0.1553,0.517,16.1,d,0.35,J2303+1422,112.9,3.28,0.321,0.64,36.7,255,16,E,S,A, ,345.8405,14.37164
129,232120.93-093910.3,645,52203,517,0.0819,0.5324,14.66,s,0.05,J2321-0939,84.6,4.11,0.313,0.78,127.9,249,12,E,S,A, ,350.33721,-9.65286
130,234111.57+000018.7,682,52525,594,0.186,0.807,16.36,d,0.05,J2341+0000,98.7,3.15,0.318,0.59,78.8,207,13,E,S,A, ,355.29821,0.00519
131,234728.08-000521.3,684,52523,311,0.4169,0.7145,17.89,s,0.06,J2347-0005,145.3,1.4,0.309,0.71,16.5,,,E,S,B, ,356.867,-0.08925
