Lens system,Survey,theta_E,sig_theta_E_up,sig_theta_E_low,gamma,sig_gamma_up,sig_gamma_low,sig_gamma_sys,q_m,sig_q_m_up,sig_q_m_low,phi_m,sig_phi_m_up,sig_phi_m_low,gamma_shear,sig_gamma_shear_up,sig_gamma_shear_low,phi_shear,sig_phi_shear_hi,sig_phi_shear_low,q_L,sig_q_L_up,sig_q_L_low,phi_L,sig_phi_L_up,sig_phi_L_low,R_eff,sig_R_eff_up,sig_R_eff_low,z_lens,z_source,sigma_los,sig_sigma_los,slit_shape,slit radius,slit_width,slit_length,seeing
SDSSJ2303+1422,SLACS,1.622,0.002,0.002,1.94,0.02,0.02,0.08,0.65,0.01,0.01,55,0,0,0.001,0.001,0.001,6,21,10,0.643,0.001,0.001,52.6,0.1,0.1,3.64,0.009,0.008,0.16,0.52,250,12,Circular,1.5,--,--,1.4
SDSSJ2343-0030,SLACS,1.506,0.002,0.002,2.16,0.04,0.05,0.12,0.69,0.02,0.02,52,1,1,0.083,0.005,0.004,5,1,1,0.66,0.002,0.002,51.3,0.2,0.2,2.372,0.005,0.004,0.18,0.46,254,8,Circular,1.5,--,--,1.4
SDSSJ2347-0005,SLACS,1.077,0.005,0.004,1.98,0.03,0.03,0.07,0.61,0.02,0.02,64,2,2,0.053,0.007,0.008,27,4,3,0.697,0.003,0.003,71.6,0.3,0.3,1.441,0.005,0.007,0.42,0.71,404,59,Circular,1.5,--,--,1.4
SL2SJ0208-0714,SL2S,2.583,0.042,0.005,1.98,0.03,0.03,0.07,0.99,0.01,0.16,11,14,6,0.068,0.003,0.011,-56,26,1,0.825,0.008,0.004,19,0.6,0.6,2.092,0.031,0.031,0.43,--,295,27,Rectangular,--,1.62,1,1
SL2SJ0214-0405,SL2S,1.221,0.006,0.006,1.86,0.04,0.04,0.33,0.7,0.02,0.02,32,1,1,0.003,0.004,0.002,-77,33,40,0.941,0.011,0.011,26,5.3,4.8,1.184,0.039,0.04,0.61,1.88,287,47,Rectangular,--,1.88,1,0.8
SL2SJ0217-0513,SL2S,1.258,0.003,0.003,2.34,0.06,0.06,0.23,0.85,0.01,0.02,-25,2,2,0.163,0.009,0.009,89,1,1,0.952,0.01,0.009,-22.7,5.9,6.1,0.681,0.012,0.018,0.65,1.85,239,27,Rectangular,--,1.68,1.5,0.6
SL2SJ0219-0829,SL2S,1.285,0.008,0.006,2.62,0.07,0.18,0.08,0.72,0.03,0.03,0,2,1,0.023,0.01,0.011,67,8,17,0.689,0.006,0.009,14,0.8,0.8,0.881,0.006,0.006,0.39,2.15,289,23,Rectangular,--,1.68,1,0.7
SL2SJ0225-0454,SL2S,1.716,0.022,0.017,1.96,0.03,0.03,0.11,0.67,0.03,0.03,59,2,2,0.037,0.012,0.012,-13,14,5,0.69,0.003,0.003,64.7,0.3,0.3,2.55,0.014,0.011,0.24,1.2,234,21,Rectangular,--,0.81,1,0.7
SL2SJ0226-0420,SL2S,1.099,0.014,0.014,2.14,0.1,0.1,0.08,0.82,0.06,0.11,22,7,6,0.013,0.016,0.009,8,37,54,0.832,0.017,0.024,28.7,4.3,3.4,0.89,0.013,0.014,0.49,1.23,263,24,Rectangular,--,1.62,1,0.6
SL2SJ0226-0406,SL2S,1.289,0.015,0.017,2.02,0.22,0.17,0.11,0.76,0.07,0.08,-30,2,4,0.009,0.015,0.006,-21,61,36,0.343,0.014,0.01,-41.6,1.1,1,0.884,0.034,0.036,0.77,--,333,24,Rectangular,--,1.68,1.5,0.6
